category.id,category.name,category.playlist.id,category.playlist.name,category.playlist.track.id,category.playlist.track.name,category.playlist.track.album.id,category.playlist.track.album.name,category.playlist.track.artist,category.playlist.track.feature.danceability,category.playlist.track.feature.energy,category.playlist.track.feature.key,category.playlist.track.feature.loudness,category.playlist.track.feature.mode,category.playlist.track.feature.speechiness,category.playlist.track.feature.acousticness,category.playlist.track.feature.instrumentalness,category.playlist.track.feature.liveness,category.playlist.track.feature.valence,category.playlist.track.feature.tempo,category.playlist.track.feature.duration_ms,category.playlist.track.feature.time_signature
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,"Drake, 21 Savage, Project Pat",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,3J4VKkUpLvomXJbn9ZAypO,Sharing Locations (feat. Lil Baby & Lil Durk),0q6qOUfC4ikWtv62KCnoip,Sharing Locations (feat. Lil Baby & Lil Durk),"Meek Mill, Lil Durk, Lil Baby",0.681,0.63,1,-5.585,1,0.0385,0.00383,0,0.139,0.183,151.951,161053,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),3HqmX8hGcbbQZODgayNEYx,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",0.711,0.611,1,-5.453,1,0.329,0.00575,0,0.231,0.144,134.14,252070,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,52nTQQahs46s1iHFQ3Wv5Q,Pissed Me Off,70m1QwzUoogjk2DDq1hA3b,Pissed Me Off,Lil Durk,0.723,0.516,11,-10.707,0,0.485,0.00311,1.26e-06,0.115,0.223,155.967,123077,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,4KDNRh9Oor80z3XIxdWlui,Bubbly (with Drake & Travis Scott),7IKkHmEk4It4cRdOYanyvW,Punk,"Young Thug, Drake, Travis Scott",0.91,0.585,11,-7.572,0,0.257,0.0536,0,0.127,0.599,129.011,165067,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,"Drake, Future, Young Thug",0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,4eL3XeuGaEoVT8ttDh3hwY,Too Easy,1hbRXvB0m34uUqNU8EbZzc,Too Easy,"Gunna, Future",0.798,0.574,1,-6.548,1,0.157,0.024,0,0.122,0.309,155.964,138587,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,25r6MZ4Gtd76l43qnZI1DG,Flocky Flocky (feat. Travis Scott),2WmJ5wp5wKBlIJE6FDAIBJ,Life of a DON,"Don Toliver, Travis Scott",0.8,0.541,10,-5.05,0,0.0375,0.0252,0,0.146,0.194,135.99,183514,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,7zjEyeBsaw9gV0jofJLfOM,Livin It Up (with Post Malone & A$AP Rocky),7IKkHmEk4It4cRdOYanyvW,Punk,"Young Thug, A$AP Rocky, Post Malone",0.767,0.313,7,-12.059,1,0.0798,0.838,0,0.105,0.765,82.582,210907,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,1tkipCYkIgti8f1tqjfcWe,Ambition For Cash,3lMWNCoEQzdbb9lSZa5gv9,Ambition For Cash,Key Glock,0.841,0.732,7,-5.186,0,0.19,0.0115,2.18e-05,0.136,0.576,149.012,143480,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,"Drake, Travis Scott",0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,291175,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,6cUHiQEECDl5m3WFGQ1GCR,Rich MF (feat. Polo G & Lil Durk),4sS5IjHR0YOJQdSTQ8whWz,Trip At Knight (Complete Edition),"Trippie Redd, Polo G, Lil Durk",0.756,0.698,6,-5.464,1,0.178,0.0849,0,0.221,0.66,77.497,247714,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,6pmNoWKk0r6zfIjWneJRxR,Lonely (with Lil Wayne),6PwnWA19E1JThqWMdRrj6l,Lonely (with Lil Wayne),"DaBaby, Lil Wayne",0.718,0.628,0,-5.334,1,0.373,0.0884,0,0.186,0.771,139.769,154433,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,"Drake, Lil Baby",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,221980,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,2DTpP3caqX3QdJIEoS83mD,Your Heart,1VKFaHoIvkZTzsSRad2jDZ,Your Heart,"Joyner Lucas, J. Cole",0.861,0.637,6,-7.701,0,0.133,0.392,0,0.0929,0.754,87.006,198621,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,4HTY26kzdGCKJF1EqcRd2J,Feelin' Like Tunechi,2gDny6NDG26azxuTbtNxgq,Trust Fund Babies,"Lil Wayne, Rich The Kid",0.559,0.532,5,-7.679,0,0.353,0.174,0,0.136,0.529,85.843,186060,5
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,5qyZ6LcHvBiIHLaoED8K4g,Hot (feat. Moneybagg Yo),3cLQ49Ll3nGRkw3HSSk92K,Expensive Pain,"Meek Mill, Moneybagg Yo",0.773,0.623,2,-5.267,1,0.196,0.00194,0,0.133,0.13,153.1,150527,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),0hTvuLmKKMWoBWgPPrpUKF,REPEAT IT,"Lil Tecca, Gunna",0.681,0.687,9,-7.612,1,0.332,0.0555,0,0.062,0.588,108.641,190345,3
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,5ChX0Yt1wPpRJFPPecJZPh,Dreams Unfold,5sAWMGha4PtgcM7CWksfE6,Dreams Unfold,"Joyner Lucas, Lil Tjay",0.869,0.62,9,-5.308,1,0.191,0.36,0,0.103,0.961,148.041,201081,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,5xyLeb2q1lxDf7hXKYlC1H,Mind of Melvin (feat. Lil Uzi Vert),0fvmq3jIMJpjHFDTZtjWtx,Just A Matter of Slime,"YNW Melly, Lil Uzi Vert",0.663,0.432,8,-8.553,1,0.0382,0.448,2.62e-05,0.152,0.307,130.108,230881,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,14Lnl6x5G0xDKrkRRCzNq7,Whole Lotta Ice (feat. Lil Baby & Pooh Shiesty),0YcS21XBKJP7tl7ILuvRH4,So Icy Boyz (Deluxe),"BigWalkDog, Lil Baby, Pooh Shiesty",0.811,0.554,1,-6.92,1,0.297,0.0184,0,0.164,0.202,132.014,247465,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0uqsdBw9KvD8jSWmfMmMAp,Stressed (with J. Cole & T-Shyne),7IKkHmEk4It4cRdOYanyvW,Punk,"Young Thug, J. Cole, T-Shyne",0.707,0.442,0,-10.395,0,0.339,0.0698,0,0.106,0.344,81.021,220413,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,1MIGkQxcdAt2lDx6ySpsc5,SUVs (Black on Black),4K3SQSfKMXLcVnyUSFELZw,SUVs (Black on Black),"Jack Harlow, Pooh Shiesty",0.801,0.688,1,-4.594,1,0.396,0.144,0,0.107,0.5,162.928,157675,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,3yaYgjEFkRw3PVjW9mV1TO,Over The Top (feat. Drake),4ROMS3rcR9JepxAtDRpvc5,Over The Top (feat. Drake),"Smiley, Drake",0.833,0.498,10,-5.196,0,0.117,0.0493,0,0.119,0.259,139.928,153406,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,4yNoUQkYf1QF8iYlEzNynH,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",5aSofcF0U90UxJaDr62r6X,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick, G Herbo, Lil Durk, 21 Savage",0.739,0.74,5,-5.86,0,0.333,0.0045,0,0.161,0.488,75.575,279853,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,4wuMS7NGVbU7hdu94K5icd,Prada (feat. Lil Tecca),2ut84dwAs20nDuTqnvKsDQ,Prada (feat. Lil Tecca),"24kGoldn, Lil Tecca",0.686,0.69,6,-6.13,0,0.24,0.122,0,0.137,0.528,178.157,151586,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,3mLx5JNbIi12thSZ4ExWHg,Wockesha (with Lil Wayne & Ashanti) - Remix,13TVZ98zVHDrUkX9hSElAk,Wockesha (with Lil Wayne & Ashanti) [Remix],"Moneybagg Yo, Lil Wayne, Ashanti",0.56,0.558,0,-9.493,1,0.495,0.115,0,0.137,0.801,82.991,217881,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,1rjnHhnDtoboZAXJyJgzaz,Super,6Dt8m6lk18tTFafSPMuDeo,Super,Cordae,0.897,0.684,1,-4.776,1,0.352,0.123,0,0.361,0.409,138.975,177408,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,5b2CRPYt0QNA0jaCJNIIdn,Keeper (feat. A Boogie Wit da Hoodie),0kNhJM4dXKfsKbCERz7QBg,GEEZYWORLD,"OHGEESY, A Boogie Wit da Hoodie",0.647,0.483,11,-7.59,0,0.11,0.0755,0,0.138,0.299,98.87,169697,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,7CC6UbCs4iGsePSzFxYxNn,Moon,5CnpZV3q5BcESefcB3WJmz,Donda,Kanye West,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50xlqNticOjNCnR192H1YJ,No Time For Sleep (Freestyle),2SUNTv6iT4DwTmrNlqCqmi,No Time For Sleep (Freestyle),Bobby Shmurda,0.79,0.725,1,-5.643,1,0.418,0.00844,0,0.138,0.264,170.062,375652,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,4ZUNw5tDBZTOqzPEVIYyOy,V12 (feat. Lil Uzi Vert),2PcHsFm2lY8QEDmVxTvVaW,V12 (feat. Lil Uzi Vert),"iann dior, Lil Uzi Vert",0.705,0.681,4,-3.286,0,0.148,0.411,0,0.121,0.626,164.941,177836,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),7AwrgenNcTAJlJF3pKL0Qr,No Love Lost (Deluxe),"Blxst, Tyga, Ty Dolla $ign",0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,161684,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0UTyLmkQgPOEIz95OVAJTR,range brothers (with Kendrick Lamar),3r46DPIQeBQbjvjjV5mXGg,The Melodic Blue,"Baby Keem, Kendrick Lamar",0.667,0.582,11,-5.791,0,0.267,0.00466,0,0.124,0.141,121.972,316733,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,15qKrPi4Kg0z7g9HlwWyeb,The Jackie (with J. Cole & Lil Tjay),6xiJPpCpSaM5l4Fz8IYjyU,The Jackie (with J. Cole & Lil Tjay),"Bas, J. Cole, Lil Tjay",0.784,0.474,8,-6.139,1,0.0524,0.333,0,0.278,0.64,128.012,204434,4
hiphop,Hip Hop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,2f2WskmLwsLtGkjntD8NG7,No Where,4ssppGN0Qy4OeJTUDr1Etd,"Sincerely, Kentrell",YoungBoy Never Broke Again,0.657,0.496,5,-7.346,1,0.0889,0.213,0,0.12,0.352,146.061,157845,4
